user_id,movie_id,rating
1,1,4.0
5,1,4.0
7,1,4.5
15,1,2.5
17,1,4.5
18,1,3.5
19,1,4.0
21,1,3.5
27,1,3.0
33,1,3.0
43,1,5.0
46,1,5.0
50,1,3.0
57,1,5.0
63,1,5.0
64,1,4.0
66,1,4.0
68,1,2.5
73,1,4.5
76,1,0.5
78,1,4.0
82,1,2.5
89,1,3.0
90,1,3.0
91,1,4.0
93,1,3.0
96,1,5.0
98,1,4.5
103,1,4.0
112,1,3.0
119,1,3.5
121,1,4.0
124,1,4.0
130,1,3.0
132,1,2.0
134,1,3.0
135,1,4.0
137,1,4.0
140,1,3.0
141,1,4.0
155,1,3.0
156,1,4.0
166,1,5.0
167,1,3.5
169,1,4.5
171,1,5.0
177,1,5.0
178,1,4.0
182,1,4.0
185,1,4.0
186,1,4.0
201,1,5.0
202,1,4.0
206,1,5.0
213,1,3.5
214,1,3.0
216,1,3.0
217,1,4.0
219,1,3.5
220,1,5.0
223,1,3.5
226,1,3.5
229,1,5.0
232,1,3.5
233,1,3.0
234,1,5.0
249,1,4.0
252,1,4.5
254,1,4.5
263,1,4.0
264,1,4.0
266,1,2.0
269,1,5.0
270,1,5.0
273,1,5.0
274,1,4.0
275,1,5.0
276,1,4.0
277,1,4.0
279,1,3.0
280,1,4.5
282,1,4.5
283,1,3.0
288,1,4.5
290,1,4.0
291,1,4.0
292,1,4.0
293,1,3.0
298,1,2.0
304,1,5.0
307,1,4.0
314,1,3.0
322,1,3.5
323,1,3.5
328,1,5.0
330,1,4.0
332,1,4.0
334,1,3.5
336,1,4.0
337,1,4.0
347,1,5.0
350,1,4.0
353,1,5.0
357,1,5.0
359,1,4.0
367,1,5.0
372,1,3.0
373,1,3.0
378,1,4.5
380,1,5.0
381,1,3.5
382,1,4.5
385,1,4.0
389,1,5.0
391,1,3.0
396,1,5.0
399,1,4.0
401,1,3.5
6,2,4.0
18,2,3.0
19,2,3.0
20,2,3.0
21,2,3.5
27,2,4.0
62,2,4.0
68,2,2.5
82,2,3.0
91,2,3.0
93,2,5.0
94,2,4.0
103,2,4.0
104,2,3.0
112,2,1.5
117,2,3.0
122,2,4.0
125,2,4.0
135,2,3.0
140,2,3.5
169,2,4.0
177,2,3.5
186,2,4.0
202,2,4.0
217,2,2.0
219,2,2.5
221,2,3.5
222,2,2.5
226,2,3.0
230,2,2.5
232,2,4.0
249,2,4.0
259,2,2.0
274,2,3.5
276,2,4.0
284,2,4.0
288,2,2.0
294,2,3.0
298,2,0.5
299,2,3.0
304,2,4.0
305,2,3.5
307,2,2.5
308,2,3.0
318,2,3.5
322,2,3.0
323,2,4.0
330,2,1.5
347,2,3.0
353,2,4.0
357,2,3.0
359,2,3.5
373,2,3.0
380,2,5.0
381,2,4.0
395,2,3.0
1,3,4.0
6,3,5.0
42,3,4.0
43,3,5.0
64,3,3.5
116,3,3.5
117,3,3.0
269,3,4.0
270,3,3.0
294,3,1.0
302,3,3.0
308,3,0.5
337,3,4.0
368,3,3.0
84,4,3.0
262,4,1.0
66,5,4.0
84,5,3.0
111,5,3.5
120,5,4.0
121,5,3.0
170,5,3.0
229,5,3.0
389,5,4.0
402,5,3.0
23,6,4.0
24,6,4.5
28,6,3.5
57,6,3.0
62,6,4.5
79,6,4.0
105,6,4.0
166,6,3.5
182,6,4.5
199,6,4.0
220,6,3.5
266,6,4.0
282,6,4.0
297,6,5.0
305,6,3.5
312,6,4.0
313,6,3.0
314,6,3.0
317,6,5.0
318,6,4.0
325,6,4.0
336,6,4.0
362,6,4.0
368,6,4.0
372,6,5.0
385,6,3.0
391,6,4.0
400,6,5.0
33,7,1.0
42,7,3.0
90,7,4.0
95,7,3.0
188,7,4.0
199,7,3.0
206,7,4.0
262,7,3.0
280,7,4.5
350,7,3.0
20,8,1.0
402,9,3.0
26,10,3.0
34,10,5.0
46,10,3.0
63,10,3.0
81,10,1.0
94,10,3.0
104,10,3.0
119,10,4.0
136,10,5.0
170,10,3.0
174,10,3.0
176,10,5.0
178,10,4.0
208,10,2.0
235,10,2.0
284,10,4.0
292,10,3.5
301,10,4.0
313,10,4.0
331,10,3.0
334,10,3.5
349,10,4.0
354,10,3.5
361,10,3.5
376,10,4.5
387,10,3.5
395,10,3.0
408,10,4.5
35,11,4.0
89,11,2.5
113,11,3.0
156,11,3.0
174,11,5.0
201,11,4.0
235,11,4.0
263,11,4.0
290,11,4.0
345,11,2.5
387,11,2.5
120,12,3.0
273,12,1.0
351,12,5.0
328,13,3.0
302,14,4.0
136,15,5.0
28,16,2.5
105,16,4.5
111,16,4.5
187,16,4.0
261,16,4.0
303,16,2.5
310,16,1.0
311,16,2.5
312,16,4.0
317,16,5.0
332,16,3.5
362,16,4.0
405,16,4.0
132,17,3.0
198,17,3.0
214,17,3.0
227,17,3.5
246,17,5.0
275,17,5.0
301,17,4.0
346,17,4.0
95,18,3.5
256,18,5.0
295,18,3.5
122,19,3.5
139,19,1.0
141,19,2.0
222,19,3.5
325,19,2.0
376,19,2.0
377,19,2.0
379,19,2.0
408,19,3.5
78,20,3.0
326,20,3.5
4,21,3.0
5,21,4.0
35,21,5.0
115,21,4.0
216,21,3.0
379,21,2.0
297,22,2.0
198,24,4.0
234,24,5.0
36,25,2.5
113,25,1.0
118,25,2.0
171,25,5.0
187,25,3.0
265,25,1.0
405,25,4.0
246,28,4.5
23,29,4.0
221,29,4.5
253,29,4.5
260,29,4.0
267,29,4.0
268,29,5.0
295,29,5.0
3,31,0.5
47,31,3.0
131,31,3.0
203,31,3.5
4,32,2.0
24,32,3.5
50,32,3.0
72,32,4.5
80,32,4.0
81,32,5.0
115,32,5.0
133,32,4.0
227,32,4.5
237,32,5.0
254,32,4.5
259,32,5.0
264,32,1.0
265,32,4.0
271,32,4.0
277,32,5.0
303,32,3.5
345,32,3.5
354,32,4.0
375,32,5.0
377,32,4.5
